"1-800-Missing" 	43.66996435 -79.33452913814912
"America\'s Next Top Model" 	34.0536909 -118.2427666
"America\'s Next Top Model" 	34.0536909 -118.2427666
"America\'s Next Top Model" 	33.99377791836735 -118.47963851020408
"America\'s Next Top Model" 	45.4668 9.1905
"America\'s Next Top Model" 	45.4371908 12.3345898
"America\'s Next Top Model" 	33.99377791836735 -118.47963851020408
"America\'s Next Top Model" 	22.1757605 113.5514142
"America\'s Next Top Model" 	35.000074 104.999927
"America\'s Next Top Model" 	35.3084749 24.463320724202934
"America\'s Next Top Model" 	33.99377791836735 -118.47963851020408
"America\'s Next Top Model" 	34.035591 -118.689423
"America\'s Next Top Model" 	34.0536909 -118.2427666
"America\'s Next Top Model" 	33.99377791836735 -118.47963851020408
"America\'s Next Top Model" 	40.7127281 -74.0060152
"America\'s Next Top Model" 	39.7837304 -100.4458825
"America\'s Next Top Model" 	45.4668 9.1905
"America\'s Next Top Model" 	22.1757605 113.5514142
"America\'s Next Top Model" 	34.0536909 -118.2427666
"America\'s Next Top Model" 	34.0536909 -118.2427666
"America\'s Next Top Model" 	36.1672559 -115.1485163
"America\'s Next Top Model" 	18.4724603 -77.9217357
"America\'s Next Top Model" 	18.4929078 -77.6574376
"America\'s Next Top Model" 	18.1850507 -77.3947693
"America\'s Next Top Model" 	18.4075785 -77.101204
"America\'s Next Top Model" 	-33.9455221 151.253571
"America\'s Next Top Model" 	-33.8536692 151.2133527
"America\'s Next Top Model" 	-33.8536692 151.2133527
"America\'s Next Top Model" 	35.6828387 139.7594549
"America\'s Next Top Model" 	-33.8536692 151.2133527
"America\'s Next Top Model" 	34.0169981 -118.4976531
"America\'s Next Top Model" 	34.1412926 -118.3584364
"America\'s Next Top Model" 	18.4724603 -77.9217357
"America\'s Next Top Model" 	37.564982549999996 126.93921080358436
"America\'s Next Top Model" 	37.564982549999996 126.93921080358436
"America\'s Next Top Model" 	33.8246269 -116.540303
"America\'s Next Top Model" 	36.1672559 -115.1485163
"America\'s Next Top Model" 	34.1460234 -118.8061794
"America\'s Next Top Model" 	18.1850507 -77.3947693
"America\'s Next Top Model" 	36.5748441 139.2394179
"America\'s Next Top Model" 	-24.7761086 134.755
"America\'s Next Top Model" 	-33.8536692 151.2133527
"America\'s Next Top Model" 	-24.7761086 134.755
"America\'s Next Top Model" 	-33.8536692 151.2133527
"America\'s Next Top Model" 	-24.7761086 134.755
"America\'s Next Top Model" 	-33.8536692 151.2133527
"America\'s Next Top Model" 	-33.8536692 151.2133527
"America\'s Next Top Model" 	-2.4833826 117.8902853
"America\'s Next Top Model" 	36.1672559 -115.1485163
"America\'s Next Top Model" 	34.10258315 -118.34019700458315
"America\'s Next Top Model" 	34.0536909 -118.2427666
"America\'s Next Top Model" 	-8.3304977 115.0906401
"America\'s Next Top Model" 	37.564982549999996 126.93921080358436
"America\'s Next Top Model" 	37.564982549999996 126.93921080358436
"America\'s Next Top Model" 	37.564982549999996 126.93921080358436
"America\'s Next Top Model" 	37.564982549999996 126.93921080358436
"America\'s Next Top Model" 	34.0536909 -118.2427666
"America\'s Next Top Model" 	35.3084749 24.463320724202934
"America\'s Next Top Model" 	36.1672559 -115.1485163
"America\'s Next Top Model" 	33.99377791836735 -118.47963851020408
"American Chopper: The Series" 	34.0536909 -118.2427666
"American Chopper: The Series" 	42.8941269 -74.4099745
"American Chopper: The Series" 	40.7591424 -73.9796681
"American Chopper: The Series" 	41.3873306 -74.2507287
"American Chopper: The Series" 	41.4662049 -74.1912587
"American Juniors" 	34.0536909 -118.2427666
"Amor Descarado" 	25.7742658 -80.1936589
"Am�" 	34.0536909 -118.2427666
"Am�" 	35.1490215 -90.0516285
"Am�" 	36.1622296 -86.7743531
"Am�" 	64.9841821 -18.1059013
"An Inside Look" 	-24.7761086 134.755
"An Inside Look" 	-28.8166236 24.991639
"Anatomie des Verbrechens" 	51.0834196 10.4234469
"Ancient Discoveries" 	35.000074 104.999927
"Ancient Egyptians" 	31.1728205 -7.3362482
"Ancient Egyptians" 	30.920193 -6.910923
"Anderson Cooper 360�" 	33.7490987 -84.3901849
"Anderson Cooper 360�" 	38.9597594 34.9249653
"Anderson Cooper 360�" 	36.219114 36.1616275
"Anderson Cooper 360�" 	38.9597594 34.9249653
"Anderson Cooper 360�" 	38.9597594 34.9249653
"Anderson Cooper 360�" 	41.00582905 28.643081755187236
"Anderson Cooper 360�" 	41.0375196 28.9854261
"Anderson Cooper 360�" 	49.4871968 31.2718321
"Anderson Cooper 360�" 	48.0158753 37.8013407
"Anderson Cooper 360�" 	38.744707 -90.3038975
"Anderson Cooper 360�" 	38.6268039 -90.1994097
"Anderson Cooper 360�" 	38.6268039 -90.1994097
"Anderson Cooper 360�" 	38.6373754 -90.307816
"Anderson Cooper 360�" 	38.63510455 -90.3476632779996
"Anderson Cooper 360�" 	38.7709398 -90.2799258
"Anderson Cooper 360�" 	38.55881599999999 -90.3757777162534
"Anderson Cooper 360�" 	38.740806899999995 -90.30315477299337
