"A Healthier Charlotte" 	35.2270869 -80.8431268
"A History of Celtic Britain" 	50.7968346 -2.4146294055470126
"A History of Celtic Britain" 	51.2041118 1.3944359866263374
"A History of Celtic Britain" 	51.083333 -1.166667
"A History of Celtic Britain" 	50.8953944 -2.2048095098549956
"A History of Celtic Britain" 	51.8896903 0.8994651
"A History of Celtic Britain" 	51.2983382 -2.7209278
"A History of Celtic Britain" 	51.893536600000004 -4.2164870160555195
"A Path to Honor" 	34.0536909 -118.2427666
"A Place in the Sun" 	-18.1239696 179.0122737
"A Place in the Sun" 	-34.78719615 -68.43807123826872
"A Place in the Sun" 	37.587794 14.155048
"A Place in the Sun" 	17.9520667 -87.9709092
"A Place in the Sun" 	-41.5000831 172.8344077
"A Place in the Sun" 	20.621933 -87.0757075
"A Place in the Sun" 	42.6499651 18.093652
"A Place in the Sun" 	38.9953683 21.9877132
"A Place in the Sun" 	16.8259793 -88.7600927
"A Place in the Sun" 	50.4164846 -118.7147708
"A Sagrada Fam�lia" 	40.0332629 -7.8896263
"A Sagrada Fam�lia" 	38.7077507 -9.1365919
"A Series of Unfortunate People" 	34.0536909 -118.2427666
"A Stand Up Mother" 	41.641445 -80.151449
"A Word from Our Sponsors" 	-37.8142176 144.9631608
"A\'dam - E.V.A." 	52.3727598 4.8936041
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"A.N.T. Farm" 	34.0536909 -118.2427666
"AKA Shaman" 	39.7348381 -104.9653271
"AN 2012: Quiero Cine" 	40.4167047 -3.7035825
"ARGE Talkshow" 	48.2083537 16.3725042
"ATSN TV: American Trigger Sports Network Television" 	34.4458248 -119.0779359
